noRepeatRounds,maxStreak,violationType,LaTeX,r2,mae,mse,rmse,max_res,ssr
4,5,DRRV, 0.736x^2 -0.924x +0.030,0.9999996677996272,0.25690413119488614,0.10115969504788704,0.3180561193372752,0.7635797354821534,2.427832681149289
4,5,MSV, 0.063x^2 -0.212x -0.093,0.9999392498804536,0.2891190928093622,0.12357184032019618,0.351527865638268,0.786946869869297,2.965724167684708
4,5,NRV, 4.023x -9.158,0.9999210052600176,0.3621521739130418,0.24501828601449174,0.49499321814999825,1.6443400000000068,5.880438864347802
5,5,DRRV, 0.736x^2 -0.929x +0.075,0.9999989006284236,0.431216844532373,0.3347839784301288,0.5786052008322504,1.126526159926982,8.034815482323092
5,5,MSV, 0.063x^2 -0.265x +0.340,0.9999696404145461,0.18419290564508328,0.06167734777288072,0.24834924556535443,0.7309113104286951,1.4802563465491372
5,5,NRV, 5.048x -14.618,0.9999167052582258,0.4285658212560199,0.4068780795591784,0.6378699550528919,2.2406666666666957,9.76507390942028
6,5,DRRV, 0.737x^2 -0.951x +0.154,0.9999985127145898,0.5138136738623397,0.45319145491230545,0.6731949605517746,1.5527820614167922,10.87659491789533
6,5,MSV, 0.062x^2 -0.203x -0.097,0.9999664183006024,0.2006142478716932,0.06804361236590288,0.2608517056986649,0.5182679340225107,1.6330466967816692
6,5,NRV, 6.067x -21.003,0.9998831249988531,0.677173925120773,0.824555236588163,0.9080502390221386,3.263376666666673,19.78932567811591
1,6,DRRV, 0.736x^2 -0.934x +0.029,0.99999851249408,0.4474595434276165,0.45279195011357615,0.6728981721728602,1.8432667376099516,10.867006802725827
1,6,MSV, 0.031x^2 -0.126x -0.004,0.9999042587302271,0.11712734278402782,0.04738496310473048,0.21768087445784134,0.8360279796290726,1.1372391145135317
1,6,NRV, 1.004x -0.646,0.9998492659893565,0.14228184782608463,0.029127067113526767,0.17066653776744511,0.32492362318842183,0.6990496107246424
2,6,DRRV, 0.736x^2 -0.916x -0.120,0.9999991603556,0.39404212323907206,0.255920558809176,0.5058859148159554,1.4004425722104088,6.142093411420224
2,6,MSV, 0.032x^2 -0.162x +0.263,0.9998109116135321,0.2206344886997095,0.09518546602260018,0.308521419066165,0.7955828640924096,2.2844511845424043
2,6,NRV, 2.007x -2.236,0.9999337453093259,0.18109681159420307,0.05114415885265711,0.22615074364825136,0.5240157971014696,1.2274598124637706
3,6,DRRV, 0.735x^2 -0.899x -0.110,0.9999983216169723,0.5029124731428097,0.5110428519932527,0.7148726124235372,2.035968540589465,12.265028447838064
3,6,MSV, 0.031x^2 -0.126x -0.003,0.9998443620680982,0.1893366955508252,0.07762543571957065,0.2786134162591074,0.7721717421709116,1.8630104572696955
3,6,NRV, 3.018x -5.187,0.9999376290937529,0.2553577657004844,0.10889582291062849,0.3299936710160189,0.8070566666666732,2.613499749855084
4,6,DRRV, 0.736x^2 -0.933x +0.079,0.9999989847409946,0.4425573913043344,0.30922056450589336,0.5560760420175404,1.1408864822130909,7.42129354814144
4,6,MSV, 0.031x^2 -0.118x -0.044,0.9998563108540794,0.19498590731731683,0.0709515062929457,0.26636723952645847,0.6425578382487203,1.702836151030697
4,6,NRV, 4.025x -9.277,0.9999330941183391,0.3316441062801993,0.2077593141968607,0.4558062243946003,1.3966533333333597,4.986223540724657
5,6,DRRV, 0.736x^2 -0.906x -0.131,0.9999987016415561,0.48347717036590404,0.3953917545434594,0.6288018404421694,1.6226523076923058,9.489402109043025
5,6,MSV, 0.032x^2 -0.144x +0.151,0.9998435685556414,0.19206329431438227,0.07764353288993676,0.2786458915719677,0.7559184250532027,1.8634447893584825
5,6,NRV, 5.055x -14.730,0.9999054281370905,0.5219781884057944,0.46324381905796974,0.680620172385428,2.0728800000000343,11.117851657391274
6,6,DRRV, 0.735x^2 -0.911x -0.139,0.999998768335241,0.4360348081990513,0.3749568962863387,0.6123372406495776,1.6375933323197387,8.998965510872129
6,6,MSV, 0.032x^2 -0.137x +0.100,0.9999497517503979,0.1270372281341853,0.025106198732390724,0.15844935699582605,0.4196737640620327,0.6025487695773774
6,6,NRV, 6.059x -20.926,0.9998558535527083,0.7732342995169024,1.0145154685990365,1.0072315863787416,3.3108333333333384,24.348371246376878
